Time (ns),Native contact,Rg (nm),RMSD (nm)
26,4.28E-01,1.54415,0.592081
26.1,4.49E-01,1.55987,0.5961996
26.2,4.57E-01,1.55534,0.600041
26.3,4.44E-01,1.55416,0.6190682
26.4,4.32E-01,1.56872,0.6337042
26.5,4.07E-01,1.5673,0.6081398
26.6,4.02E-01,1.58547,0.6052927
26.7,3.96E-01,1.57543,0.6501296
26.8,4.01E-01,1.57899,0.6305371
26.9,4.25E-01,1.56969,0.5931148
27,4.10E-01,1.59534,0.6348377
27.1,3.91E-01,1.57437,0.6861641
27.2,4.12E-01,1.56603,0.6598008
27.3,4.03E-01,1.55857,0.6157744
27.4,4.12E-01,1.56902,0.6658953
27.5,4.16E-01,1.56864,0.621389
27.6,4.26E-01,1.58177,0.578119
27.7,4.23E-01,1.59927,0.60967
27.8,4.27E-01,1.60341,0.6043009
27.9,4.27E-01,1.61685,0.5947989
28,4.48E-01,1.60194,0.588667
28.1,4.37E-01,1.54284,0.5873439
28.2,4.28E-01,1.56797,0.6087038
28.3,4.48E-01,1.56327,0.6100176
28.4,4.32E-01,1.57224,0.5960455
28.5,4.37E-01,1.58063,0.6139889
28.6,4.49E-01,1.59631,0.5954942
28.7,4.25E-01,1.58249,0.610299
28.8,4.48E-01,1.56144,0.6025983
28.9,4.53E-01,1.5735,0.6499351
29,4.36E-01,1.55819,0.6233318
29.1,4.42E-01,1.57537,0.5822719
29.2,4.13E-01,1.534,0.6302785
29.3,4.16E-01,1.56173,0.6153926
29.4,4.18E-01,1.54993,0.633464
29.5,4.29E-01,1.55935,0.6176115
29.6,4.27E-01,1.55835,0.622488
29.7,4.41E-01,1.56052,0.630421
29.8,4.37E-01,1.53217,0.5962484
29.9,4.51E-01,1.49331,0.6595288
30,4.46E-01,1.49511,0.6210494
30.1,4.19E-01,1.52387,0.6649072
30.2,4.41E-01,1.48693,0.629804
30.3,4.49E-01,1.51066,0.6320889
30.4,4.37E-01,1.55845,0.6320713
30.5,4.47E-01,1.53071,0.6253827
30.6,4.61E-01,1.52456,0.6188853
30.7,4.38E-01,1.53125,0.6431274
30.8,4.49E-01,1.55901,0.6250786
30.9,4.31E-01,1.62529,0.6807632
31,4.25E-01,1.58336,0.7026582
31.1,4.01E-01,1.5579,0.6956317
31.2,3.89E-01,1.54886,0.6393034
31.3,4.31E-01,1.53948,0.659644
31.4,4.33E-01,1.50022,0.6451268
31.5,4.53E-01,1.50166,0.6379801
31.6,4.24E-01,1.52358,0.63705
31.7,4.61E-01,1.52117,0.6342875
31.8,4.46E-01,1.4909,0.6587792
31.9,4.48E-01,1.50949,0.6579427
32,4.28E-01,1.5518,0.6669674
32.1,4.34E-01,1.51821,0.6411104
32.2,4.50E-01,1.54077,0.6075423
32.3,4.56E-01,1.53317,0.6007878
32.4,4.46E-01,1.52002,0.6377226
32.5,4.12E-01,1.54472,0.6731052
32.6,4.21E-01,1.55605,0.6755317
32.7,4.18E-01,1.56024,0.6947784
32.8,4.07E-01,1.5672,0.7474878
32.9,4.24E-01,1.5297,0.6889194
33,4.37E-01,1.494,0.7089173
33.1,4.50E-01,1.50099,0.6651335
33.2,4.60E-01,1.47856,0.6904255
33.3,4.52E-01,1.47846,0.6875892
33.4,4.55E-01,1.49222,0.6953358
33.5,4.50E-01,1.48747,0.6842627
33.6,4.29E-01,1.50903,0.686333
33.7,4.24E-01,1.47915,0.6624044
33.8,4.39E-01,1.51332,0.6881354
33.9,4.40E-01,1.49678,0.6731042
34,4.38E-01,1.48223,0.6753089
34.1,4.24E-01,1.51418,0.7051296
34.2,4.13E-01,1.52018,0.7214202
34.3,4.20E-01,1.47154,0.6697751
34.4,4.21E-01,1.49583,0.6686414
34.5,4.23E-01,1.48259,0.6463274
34.6,4.16E-01,1.46206,0.6481367
34.7,3.98E-01,1.49334,0.6471862
34.8,3.94E-01,1.49132,0.6580323
34.9,4.02E-01,1.47499,0.6488414
35,4.00E-01,1.47333,0.667192
35.1,3.84E-01,1.47208,0.6771454
35.2,3.84E-01,1.47608,0.6890909
35.3,3.79E-01,1.51489,0.6888943
35.4,4.05E-01,1.5145,0.655224
35.5,4.01E-01,1.52863,0.6414979
35.6,3.85E-01,1.53119,0.6303277
35.7,4.01E-01,1.5181,0.6380678
35.8,3.95E-01,1.51424,0.6512753
35.9,3.94E-01,1.53256,0.6618723
36,4.05E-01,1.52137,0.6498792
36.1,3.95E-01,1.5229,0.678055
36.2,4.03E-01,1.51657,0.6545916
36.3,3.97E-01,1.51036,0.6740323
36.4,3.83E-01,1.52909,0.6580873
