Time (ns),Native contact,Rg (nm),RMSD (nm)
24.2,5.69E-01,1.19712,0.6512129
24.3,5.65E-01,1.1938,0.626062
24.4,5.72E-01,1.19423,0.6725524
24.5,5.83E-01,1.22448,0.6475039
24.6,5.92E-01,1.22076,0.6672851
24.7,5.91E-01,1.21875,0.6590497
24.8,5.67E-01,1.23389,0.6633341
24.9,5.83E-01,1.20956,0.6328994
25,5.87E-01,1.19154,0.6279982
25.1,5.61E-01,1.20759,0.6159109
25.2,5.54E-01,1.21134,0.6231833
25.3,5.82E-01,1.20044,0.6272984
25.4,5.78E-01,1.20256,0.6285694
25.5,5.83E-01,1.19444,0.6132027
25.6,5.95E-01,1.20243,0.6284804
25.7,5.88E-01,1.18384,0.5799815
25.8,5.95E-01,1.19284,0.5615676
25.9,5.90E-01,1.18254,0.5928902
26,5.79E-01,1.19136,0.62107
26.1,5.83E-01,1.20116,0.5947181
26.2,5.94E-01,1.20138,0.6098974
26.3,5.98E-01,1.19983,0.6205922
26.4,5.84E-01,1.20141,0.6417493
26.5,5.76E-01,1.19611,0.6282831
26.6,5.80E-01,1.20322,0.6013502
26.7,5.75E-01,1.21434,0.5941849
26.8,5.81E-01,1.20632,0.6135817
26.9,5.68E-01,1.18752,0.6062999
27,5.70E-01,1.21774,0.5797281
27.1,5.63E-01,1.20581,0.5892398
27.2,5.87E-01,1.1989,0.6193482
27.3,5.80E-01,1.18818,0.579199
27.4,5.71E-01,1.20807,0.6098232
27.5,5.92E-01,1.21188,0.6253936
27.6,5.58E-01,1.23199,0.622292
27.7,5.88E-01,1.22599,0.617741
27.8,5.54E-01,1.20634,0.625112
27.9,5.81E-01,1.22654,0.6350831
28,5.74E-01,1.20669,0.6298655
28.1,5.94E-01,1.22522,0.6171669
28.2,5.69E-01,1.219,0.6482493
28.3,5.76E-01,1.21759,0.5997275
28.4,5.70E-01,1.21768,0.5993899
28.5,5.49E-01,1.19245,0.5839738
28.6,5.63E-01,1.20439,0.6237645
28.7,5.68E-01,1.19905,0.6087641
28.8,5.58E-01,1.19674,0.6394013
28.9,5.35E-01,1.18543,0.650445
29,5.70E-01,1.19096,0.6512792
29.1,5.63E-01,1.19963,0.6704328
29.2,5.35E-01,1.21095,0.6591345
29.3,5.45E-01,1.21836,0.639836
