Time (ns),Native contact,Rg (nm),RMSD (nm)
23.1,3.62E-01,1.38312,0.7770314
23.2,3.62E-01,1.34416,0.8056437
23.3,3.65E-01,1.35472,0.7985994
23.4,3.75E-01,1.38726,0.7685272
23.5,3.63E-01,1.39842,0.8083417
23.6,3.53E-01,1.38949,0.7554512
23.7,3.77E-01,1.41543,0.8381782
23.8,3.99E-01,1.41438,0.7563056
23.9,4.17E-01,1.42608,0.7066818
24,3.66E-01,1.44983,0.6591965
24.1,3.93E-01,1.48805,0.715774
24.2,3.73E-01,1.59651,0.8555123
24.3,3.96E-01,1.4561,0.8435102
24.4,4.32E-01,1.38374,0.8031566
24.5,4.48E-01,1.42029,0.7087879
24.6,3.87E-01,1.38987,0.7363335
24.7,3.68E-01,1.4548,0.8714195
24.8,3.81E-01,1.48469,0.9275391
24.9,3.93E-01,1.41045,0.9420372
25,4.24E-01,1.38348,0.8558753
25.1,4.13E-01,1.39804,0.9139673
25.2,3.72E-01,1.44142,0.9726082
25.3,4.06E-01,1.38085,0.9778748
25.4,3.66E-01,1.31645,1.0518324
25.5,3.71E-01,1.36912,1.0959328
25.6,4.10E-01,1.33786,0.9721006
25.7,4.25E-01,1.31384,0.9466534
25.8,4.04E-01,1.28606,0.9449266
25.9,4.08E-01,1.32532,1.0231973
26,4.41E-01,1.26924,0.9194416
26.1,4.07E-01,1.27634,0.8626052
26.2,3.89E-01,1.25807,0.9267595
26.3,3.51E-01,1.34394,1.058551
26.4,3.55E-01,1.34075,1.0018767
26.5,3.94E-01,1.32098,0.9649024
26.6,3.76E-01,1.33163,0.9676947
26.7,3.98E-01,1.3621,1.0078967
26.8,3.91E-01,1.45214,1.0636307
26.9,3.89E-01,1.53014,1.0555414
27,3.87E-01,1.46088,0.8340433
27.1,3.60E-01,1.52117,0.9367229
27.2,3.34E-01,1.43528,0.8996176
27.3,3.43E-01,1.38969,0.9880425
27.4,3.22E-01,1.39899,0.9894899
27.5,3.22E-01,1.44472,0.9266279
27.6,3.47E-01,1.44444,0.9251925
27.7,3.63E-01,1.43011,0.9720224
27.8,3.28E-01,1.42543,0.8359836
27.9,3.19E-01,1.38352,0.9592248
28,3.39E-01,1.35777,0.9641615
28.1,3.59E-01,1.40657,0.9955161
28.2,3.52E-01,1.39871,0.9977678
28.3,3.05E-01,1.40228,0.9385967
28.4,3.22E-01,1.42115,0.9809896
28.5,3.18E-01,1.32929,1.0269524
28.6,3.31E-01,1.27072,1.046862
28.7,3.33E-01,1.30821,1.0716394
28.8,3.47E-01,1.31491,1.1063663
28.9,3.21E-01,1.31554,1.0207286
29,3.46E-01,1.30069,1.0467325
29.1,3.35E-01,1.34292,1.0649414
29.2,3.32E-01,1.29237,1.0682241
29.3,3.66E-01,1.32545,1.0950019
29.4,3.39E-01,1.31716,1.0913314
29.5,3.49E-01,1.35231,1.0956522
29.6,3.69E-01,1.33438,1.0460187
29.7,3.62E-01,1.31357,1.0389401
29.8,3.32E-01,1.31765,1.065214
29.9,3.37E-01,1.36492,1.0972651
30,3.27E-01,1.35732,1.0357149
30.1,3.67E-01,1.33915,1.0132264
30.2,3.10E-01,1.32926,1.0435189
30.3,3.11E-01,1.29564,1.0211761
30.4,3.51E-01,1.35497,1.0655099
30.5,3.55E-01,1.29542,1.1021681
30.6,3.51E-01,1.31246,1.1477611
30.7,3.42E-01,1.36369,1.1401006
