Time (ns),Native contact,Rg (nm),RMSD (nm)
29.1,1.14E-01,1.35179,1.4007577
29.2,1.26E-01,1.37345,1.4624017
29.3,1.22E-01,1.34068,1.4287004
29.4,1.19E-01,1.37521,1.3585955
29.5,1.24E-01,1.29594,1.3043762
29.6,1.10E-01,1.38517,1.4145837
29.7,1.14E-01,1.23738,1.268665
29.8,1.12E-01,1.29293,1.3264089
29.9,1.06E-01,1.27785,1.3695391
30,1.10E-01,1.32,1.3758924
30.1,1.09E-01,1.34712,1.282287
30.2,1.09E-01,1.33849,1.3476311
30.3,1.21E-01,1.32607,1.3769095
30.4,1.14E-01,1.33954,1.4800617
30.5,1.26E-01,1.3285,1.3814114
30.6,1.32E-01,1.24583,1.383287
30.7,1.28E-01,1.26634,1.3551522
30.8,1.37E-01,1.19687,1.4050736
30.9,1.28E-01,1.25711,1.4038056
31,1.55E-01,1.30856,1.4334723
31.1,1.59E-01,1.27991,1.3480327
31.2,1.44E-01,1.30056,1.3328513
31.3,1.52E-01,1.28997,1.3892851
31.4,1.52E-01,1.31823,1.4185406
31.5,1.69E-01,1.31488,1.3690467
31.6,1.30E-01,1.30831,1.4013907
31.7,1.47E-01,1.31791,1.430811
31.8,1.33E-01,1.33418,1.3652734
31.9,1.46E-01,1.34965,1.3928576
32,1.49E-01,1.39626,1.4721069
32.1,1.45E-01,1.4387,1.4587579
32.2,1.16E-01,1.56969,1.6227837
32.3,1.23E-01,1.50778,1.5335486
32.4,1.04E-01,1.45625,1.5004858
32.5,1.37E-01,1.35876,1.3804747
32.6,1.30E-01,1.35975,1.4036678
32.7,1.28E-01,1.39338,1.44221
32.8,1.26E-01,1.35622,1.3587795
32.9,1.43E-01,1.32829,1.3747981
33,1.09E-01,1.39499,1.5009027
33.1,1.29E-01,1.41892,1.5285478
33.2,1.26E-01,1.3796,1.4107029
33.3,1.33E-01,1.38458,1.4987909
33.4,1.18E-01,1.41326,1.5158567
33.5,1.24E-01,1.38537,1.5257777
33.6,1.17E-01,1.37122,1.5319563
33.7,1.29E-01,1.31723,1.4439508
33.8,1.02E-01,1.39949,1.4847049
33.9,1.06E-01,1.46412,1.5235949
34,9.45E-02,1.51793,1.5136919
34.1,9.81E-02,1.4961,1.564603
34.2,8.87E-02,1.51037,1.6422009
34.3,8.04E-02,1.47053,1.5657651
34.4,9.50E-02,1.46439,1.5690029
34.5,1.02E-01,1.4033,1.5223826
34.6,9.70E-02,1.40056,1.5361189
34.7,1.09E-01,1.38308,1.5551293
34.8,9.20E-02,1.40091,1.5420769
34.9,9.12E-02,1.40981,1.5177662
35,1.13E-01,1.40049,1.4767107
35.1,1.06E-01,1.45903,1.5718906
35.2,9.71E-02,1.53618,1.620302
35.3,9.84E-02,1.51642,1.5605549
35.4,9.85E-02,1.55413,1.6246043
35.5,1.01E-01,1.53646,1.5590916
35.6,9.90E-02,1.55443,1.6101507
35.7,8.28E-02,1.48148,1.5581726
35.8,1.06E-01,1.46354,1.5064934
35.9,1.12E-01,1.43883,1.53573
36,1.14E-01,1.45893,1.5367681
36.1,1.15E-01,1.43948,1.5249573
36.2,1.06E-01,1.40808,1.4925653
36.3,1.03E-01,1.43593,1.4969836
36.4,1.13E-01,1.42637,1.5027276
36.5,1.07E-01,1.43442,1.481331
36.6,8.65E-02,1.44201,1.5270191
36.7,9.47E-02,1.44846,1.5257788
36.8,9.23E-02,1.48836,1.5822026
36.9,9.46E-02,1.56648,1.5833323
37,8.91E-02,1.59068,1.6089274
37.1,1.10E-01,1.65834,1.5996468
37.2,8.34E-02,1.7052,1.7125237
37.3,1.00E-01,1.62867,1.6556989
37.4,1.11E-01,1.57927,1.584699
37.5,1.21E-01,1.53237,1.5970689
37.6,1.08E-01,1.48804,1.5222225
37.7,9.39E-02,1.54072,1.4862969
37.8,9.84E-02,1.47474,1.497097
37.9,8.55E-02,1.43785,1.4477521
38,8.83E-02,1.43786,1.4265937
38.1,9.30E-02,1.45014,1.4746052
38.2,8.50E-02,1.38222,1.3951949
38.3,1.10E-01,1.41057,1.3520097
38.4,9.47E-02,1.41862,1.4015963
38.5,9.97E-02,1.405,1.4109713
38.6,1.23E-01,1.41487,1.3913051
38.7,1.34E-01,1.38985,1.371402
38.8,1.45E-01,1.39087,1.3781677
38.9,1.13E-01,1.39949,1.3476961
39,1.06E-01,1.43576,1.4321746
39.1,1.19E-01,1.40665,1.4304417
39.2,1.33E-01,1.42002,1.4480332
39.3,1.38E-01,1.39018,1.3858147
39.4,1.50E-01,1.41955,1.4212568
39.5,1.25E-01,1.41065,1.4468385
39.6,1.18E-01,1.38167,1.4316587
39.7,1.36E-01,1.40215,1.4412407
39.8,1.22E-01,1.42593,1.4117277
39.9,1.13E-01,1.41609,1.3814014
40,1.13E-01,1.41137,1.3584868
40.1,1.09E-01,1.43102,1.4105275
40.2,1.01E-01,1.36943,1.3462983
40.3,1.11E-01,1.36561,1.3739711
40.4,1.09E-01,1.45842,1.4754795
40.5,1.09E-01,1.44368,1.4164732
40.6,1.05E-01,1.40432,1.4522685
40.7,1.11E-01,1.37574,1.42179
40.8,1.19E-01,1.31935,1.3251064
40.9,1.17E-01,1.51377,1.4933138
41,8.41E-02,1.45826,1.4534214
41.1,1.14E-01,1.33588,1.3412266
41.2,1.37E-01,1.29467,1.3521137
41.3,1.26E-01,1.28815,1.390615
41.4,1.50E-01,1.29087,1.3932122
41.5,1.59E-01,1.26454,1.3855606
41.6,1.50E-01,1.28063,1.3988013
41.7,1.45E-01,1.24208,1.3620871
41.8,1.18E-01,1.32089,1.4106501
41.9,1.21E-01,1.32754,1.4116575
42,1.24E-01,1.30246,1.3803196
42.1,1.32E-01,1.31661,1.4369161
42.2,1.28E-01,1.30428,1.3776538
42.3,1.13E-01,1.31033,1.4044378
42.4,1.19E-01,1.37887,1.4592115
42.5,1.10E-01,1.36226,1.4429121
42.6,9.42E-02,1.32881,1.4454341
42.7,1.01E-01,1.30631,1.4382104
42.8,1.04E-01,1.31798,1.3971936
42.9,1.14E-01,1.37927,1.492362
43,1.04E-01,1.4325,1.5066284
43.1,1.26E-01,1.41238,1.4982054
43.2,1.21E-01,1.39987,1.4847674
43.3,1.35E-01,1.42256,1.524534
43.4,1.13E-01,1.33866,1.394298
43.5,1.33E-01,1.41484,1.490376
43.6,9.28E-02,1.43244,1.4453984
43.7,8.47E-02,1.56077,1.5499187
43.8,9.37E-02,1.55031,1.6006845
43.9,9.07E-02,1.50454,1.5839741
44,9.44E-02,1.4629,1.5419875
44.1,9.80E-02,1.37035,1.4941607
44.2,1.13E-01,1.426,1.4606444
44.3,1.15E-01,1.36094,1.4221085
44.4,1.23E-01,1.33824,1.4236248
44.5,1.30E-01,1.31885,1.3347414
44.6,1.22E-01,1.34588,1.3734916
44.7,1.26E-01,1.27792,1.3189672
44.8,1.29E-01,1.29207,1.3007417
44.9,1.21E-01,1.2898,1.2919605
45,1.31E-01,1.27268,1.2574724
45.1,1.33E-01,1.3151,1.2880601
45.2,1.29E-01,1.33858,1.320104
45.3,1.32E-01,1.33692,1.3580276
45.4,1.34E-01,1.27916,1.2475331
45.5,1.30E-01,1.3147,1.2384299
45.6,1.13E-01,1.29657,1.1664568
45.7,1.19E-01,1.2707,1.2365172
45.8,1.13E-01,1.32798,1.4136922
45.9,1.02E-01,1.36538,1.3706136
46,1.05E-01,1.40431,1.3965788
46.1,1.04E-01,1.29779,1.3180643
46.2,1.07E-01,1.40578,1.3880283
46.3,1.06E-01,1.365,1.3834445
46.4,9.61E-02,1.37491,1.473399
46.5,9.65E-02,1.40117,1.4170948
46.6,9.21E-02,1.38987,1.4662911
46.7,8.96E-02,1.3634,1.4107466
46.8,8.74E-02,1.37673,1.4466703
46.9,9.58E-02,1.38125,1.4669019
47,7.95E-02,1.34658,1.4493154
47.1,9.17E-02,1.31041,1.3985834
47.2,9.27E-02,1.44852,1.431247
47.3,9.57E-02,1.39517,1.4302877
47.4,9.67E-02,1.38808,1.4196092
47.5,9.34E-02,1.37552,1.4225872
47.6,1.01E-01,1.40642,1.3755372
47.7,8.09E-02,1.45787,1.4749465
47.8,9.75E-02,1.46394,1.4560845
47.9,9.66E-02,1.52346,1.5001575
48,1.02E-01,1.34566,1.3171827
48.1,1.06E-01,1.3894,1.3080983
48.2,9.55E-02,1.43234,1.3485096
48.3,1.02E-01,1.43261,1.3697792
48.4,1.09E-01,1.42074,1.3426754
48.5,1.03E-01,1.5024,1.380587
48.6,1.07E-01,1.46393,1.329497
48.7,9.49E-02,1.45669,1.282279
48.8,1.10E-01,1.4349,1.3545823
48.9,8.72E-02,1.33174,1.3140273
49,9.65E-02,1.35389,1.3169563
49.1,1.01E-01,1.38524,1.326285
49.2,1.28E-01,1.38377,1.2596345
49.3,1.21E-01,1.40058,1.3135461
49.4,1.12E-01,1.37884,1.2539479
49.5,1.20E-01,1.36275,1.2395358
49.6,1.25E-01,1.34266,1.1830456
